,District Name,Potato_Yield,Tomato_Yield,Tomato_b_Yield,Radish_Yield,Carrot_Yield,Cabbage_Yield,Cauliflower_Yield,Year
0,Panchkula,21.734553775743706,20.854545454545455,47.5,15.470019342359768,15.91219512195122,17.704918032786885,17.01188707280832,2017
1,Ambala,23.558721934369604,29.27515243902439,49.0,12.461162411732754,15.516483516483516,12.717455621301776,13.800344234079175,2017
2,Yamuna Nagar,20.878521126760564,27.27777777777778,,13.782978723404256,14.434782608695652,21.643835616438356,15.204275534441805,2017
3,Kurukshetra,26.65345029239766,5.989583333333333,40.0,8.791666666666666,12.572815533980583,10.935593220338983,14.972897196261682,2017
4,Kaithal,24.989293361884368,15.764102564102565,70.0,15.088888888888889,14.6524064171123,17.44857142857143,15.392670157068062,2017
5,Karnal,27.68421052631579,11.42089552238806,65.8,16.70873786407767,15.575,16.263392857142858,25.91743119266055,2017
6,Panipat,19.223397224058164,13.834527687296417,42.18181818181818,10.117733990147784,12.433566433566433,23.472361809045225,16.093835242771412,2017
7,Sonepat,23.317551020408164,23.268526989935957,96.03174603174604,16.129930394431554,12.420921544209216,18.727408513816282,17.023981806905105,2017
8,Rohtak,26.491071428571427,19.212947189097104,,20.971764705882354,9.8131021194605,10.91219512195122,18.681654676258994,2017
9,Jhajjar,19.60377358490566,15.692424242424243,67.5,15.31900826446281,12.99913569576491,87.94117647058823,17.686746987951807,2017
10,Faridabad,19.449462365591398,19.443169968717413,70.0,15.028795811518325,14.70074812967581,16.61169590643275,17.01605288007554,2017
11,Mahendragarh,23.166666666666668,19.536977491961416,62.5,14.217171717171718,13.367174280879865,14.222222222222221,16.06705882352941,2017
12,Rewari,22.565217391304348,15.63238512035011,,16.8411214953271,15.675862068965516,19.0,18.896825396825395,2017
13,Gurgaon,23.88235294117647,32.97544642857143,16.666666666666668,14.818798955613577,12.372093023255815,15.277128547579299,12.9145880574452,2017
14,Bhiwani,23.9774011299435,17.094488188976378,24.285714285714285,16.534448818897637,17.331695331695332,21.13240418118467,17.705150976909415,2017
15,Hisar,25.05142857142857,20.719424460431654,,29.07563025210084,18.847826086956523,15.789473684210526,11.962264150943396,2017
16,Fatehabad,27.00228310502283,10.59731543624161,16.176470588235293,14.421882243857208,15.589103291713961,16.76737160120846,16.24557678697806,2017
17,Sirsa,44.317460317460316,28.19148936170213,37.5,23.001589825119236,21.33245382585752,25.3397341211226,20.96842105263158,2017
18,Jind,23.54178674351585,16.515614156835532,,19.496951219512194,17.16857142857143,17.881176470588237,17.585757271815446,2017
0,Panchkula,24.006086956521738,25.078212290502794,89.66666666666667,18.6231884057971,20.019417475728154,18.882857142857144,19.013698630136986,2018
1,Ambala,26.469077069457658,13.83109243697479,70.3,18.254332930270053,18.28296067848882,14.954171562867215,15.410276073619633,2018
2,Yamuna Nagar,24.685,27.63254593175853,85.0,15.75257731958763,20.0,26.17801047120419,17.19646860986547,2018
3,Kurukshetra,26.050426309378807,24.08080808080808,70.0,9.480519480519481,13.476923076923077,11.062851782363978,12.186528497409327,2018
4,Kaithal,25.853846153846153,26.88995215311005,77.5,15.721153846153847,16.80392156862745,16.849056603773583,17.79310344827586,2018
5,Karnal,26.238878143133462,14.891304347826088,183.33333333333334,18.735294117647058,17.515151515151516,17.425531914893618,22.721483942414174,2018
6,Panipat,25.688053097345133,24.894106813996316,182.0,20.732793522267208,16.94374563242488,11.604796013702897,18.630084033613446,2018
7,Sonepat,26.309677419354838,27.136752136752136,61.0,17.471264367816094,17.945205479452056,17.47747747747748,19.806451612903224,2018
8,Rohtak,24.750588235294117,12.622424242424243,0.0,17.673267326732674,14.2,18.9232,21.362608695652174,2018
9,Jhajjar,28.0,4.571428571428571,186.5,7.78813118167621,17.476190476190474,17.15,17.541666666666668,2018
10,Faridabad,25.86,28.322981366459626,53.25,19.255924170616115,30.108974358974358,25.045801526717558,34.65833333333333,2018
11,Mahendragarh,25.85,23.515151515151516,66.66666666666667,17.010526315789473,13.440860215053764,14.184397163120567,17.076923076923077,2018
12,Rewari,25.85,20.447191011235955,0.0,17.024074074074075,9.659574468085106,16.623376623376622,19.726277372262775,2018
13,Gurgaon,25.85,5.0008602150537635,70.0,11.314685314685315,10.327014218009479,11.906614785992218,13.035971223021583,2018
14,Bhiwani,25.85238095238095,12.35063829787234,60.714285714285715,29.884892086330936,9.047353760445683,14.25925925925926,12.295045045045045,2018
15,Hisar,25.85217391304348,6.2103929024081115,0.0,15.188235294117646,16.772972972972973,16.193548387096776,11.605882352941176,2018
16,Fatehabad,25.8,21.747491638795985,85.0,15.403669724770642,21.76502732240437,15.63063063063063,15.028248587570621,2018
17,Sirsa,25.85276073619632,12.755681818181818,145.0,25.8,27.81163434903047,18.229357798165136,27.635658914728683,2018
18,Jind,30.770232558139536,25.520726859738783,0.0,9.593525179856115,12.396739130434783,17.59652029826015,11.662983425414364,2018
0,Panchkula,25.916051301982122,29.773529411764706,94.0,21.253731343283583,26.025510204081634,23.225806451612904,23.15573770491803,2019
1,Ambala,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511811,15.0,18.314685314685313,2019
2,Yamuna Nagar,24.844827586206897,30.444444444444443,36.666666666666664,16.0864,14.0,27.44047619047619,18.35871404399323,2019
3,Kurukshetra,26.76595744680851,10.166666666666666,0.0,13.058823529411764,12.926829268292684,11.375,14.778443113772456,2019
4,Kaithal,24.222602739726028,26.404761904761905,90.0,18.20754716981132,17.85185185185185,19.22641509433962,22.821428571428573,2019
5,Karnal,26.553571428571427,27.87719298245614,90.0,20.627062706270628,20.0,20.76,26.929223744292237,2019
6,Panipat,22.941258741258743,20.13278008298755,28.0,14.712518195050945,9.043721403152007,15.209711286089238,12.034533431300515,2019
7,Sonepat,25.487179487179485,29.484304932735427,0.0,28.142857142857142,29.625,26.436781609195403,23.037542662116042,2019
8,Rohtak,25.9812734082397,26.944444444444443,0.0,25.0,20.0,25.0,22.5,2019
9,Jhajjar,23.484126984126984,14.007048728164266,265.3225806451613,16.4992700729927,16.242331288343557,29.099537037037038,30.627906976744185,2019
10,Faridabad,19.897540983606557,25.272727272727273,65.83333333333333,19.592,20.0625,27.555555555555557,26.16842105263158,2019
11,Mahendragarh,25.055555555555557,18.181818181818183,26.666666666666668,26.8,20.534426229508195,29.235294117647058,31.105263157894736,2019
12,Rewari,24.833333333333332,31.016129032258064,0.0,16.347122302158272,7.608247422680412,20.025,22.559670781893004,2019
13,Gurgaon,24.881818181818183,11.414634146341463,0.0,10.142857142857142,10.565217391304348,12.8,18.8,2019
14,Bhiwani,25.356913183279744,17.02373660030628,64.0909090909091,27.650862068965516,17.756410256410255,15.173076923076923,18.75427872860636,2019
15,Hisar,25.374807987711215,9.518518518518519,0.0,19.2094674556213,21.837275985663084,19.779555555555554,14.449425287356322,2019
16,Fatehabad,26.546641791044777,21.526946107784433,0.0,12.635542168674698,21.333333333333332,15.835616438356164,19.736607142857142,2019
17,Sirsa,29.966950959488273,10.655,0.0,22.79032258064516,16.67924528301887,13.573611111111111,18.942753623188405,2019
18,Jind,27.07078925956062,30.10037373198078,268.1111111111111,13.518796992481203,18.54214876033058,26.393939393939394,32.58997955010225,2019
0,Panchkula,25.916051301982122,29.773529411764706,94.0,21.253731343283583,26.025510204081634,23.225806451612904,23.15573770491803,2020
1,Ambala,23.512820512820515,31.328155339805825,78.0,23.997122302158274,13.202755905511811,15.0,18.314685314685313,2020
2,Yamuna Nagar,24.844827586206897,30.444444444444443,36.666666666666664,16.0864,14.0,27.44047619047619,18.35871404399323,2020
3,Kurukshetra,26.76595744680851,10.166666666666666,0.0,13.058823529411764,12.926829268292684,11.375,14.778443113772456,2020
4,Kaithal,24.222602739726028,26.404761904761905,90.0,18.20754716981132,17.85185185185185,19.22641509433962,22.821428571428573,2020
5,Karnal,26.553571428571427,27.87719298245614,90.0,20.627062706270628,20.0,20.76,26.929223744292237,2020
6,Panipat,22.941258741258743,20.13278008298755,28.0,14.712518195050945,9.043721403152007,15.209711286089238,12.034533431300515,2020
7,Sonepat,25.487179487179485,29.484304932735427,0.0,28.142857142857142,29.625,26.436781609195403,23.037542662116042,2020
8,Rohtak,25.9812734082397,26.944444444444443,0.0,25.0,20.0,25.0,22.5,2020
9,Jhajjar,23.484126984126984,14.007048728164266,265.3225806451613,16.4992700729927,16.242331288343557,29.099537037037038,30.627906976744185,2020
10,Faridabad,19.897540983606557,25.272727272727273,65.83333333333333,19.592,20.0625,27.555555555555557,26.16842105263158,2020
11,Mahendragarh,25.055555555555557,18.181818181818183,26.666666666666668,26.8,20.534426229508195,29.235294117647058,31.105263157894736,2020
12,Rewari,24.833333333333332,31.016129032258064,0.0,16.347122302158272,7.608247422680412,20.025,22.559670781893004,2020
13,Gurgaon,24.881818181818183,11.414634146341463,0.0,10.142857142857142,10.565217391304348,12.8,18.8,2020
14,Bhiwani,25.356913183279744,17.02373660030628,64.0909090909091,27.650862068965516,17.756410256410255,15.173076923076923,18.75427872860636,2020
15,Hisar,25.374807987711215,9.518518518518519,0.0,19.2094674556213,21.837275985663084,19.779555555555554,14.449425287356322,2020
16,Fatehabad,26.546641791044777,21.526946107784433,0.0,12.635542168674698,21.333333333333332,15.835616438356164,19.736607142857142,2020
17,Sirsa,29.966950959488273,10.655,0.0,22.79032258064516,16.67924528301887,13.573611111111111,18.942753623188405,2020
18,Jind,27.07078925956062,30.10037373198078,268.1111111111111,13.518796992481203,18.54214876033058,26.393939393939394,32.58997955010225,2020
0,Panchkula,27.76795580110497,25.50561797752809,62.5,24.441340782122904,7.429906542056075,13.846153846153847,11.172566371681416,2021
1,Ambala,26.51634349030471,28.41318681318681,178.0,27.694444444444443,23.43990086741016,16.991304347826087,16.78832116788321,2021
2,Yamuna Nagar,27.419354838709676,33.01652892561984,60.57692307692307,14.146376811594203,32.5,28.749726775956283,19.032492022048157,2021
3,Kurukshetra,28.976470588235294,23.642105263157895,0.0,15.309090909090909,14.545454545454545,13.273584905660377,17.268421052631577,2021
4,Kaithal,26.88679245283019,27.097560975609756,70.0,18.41509433962264,17.925925925925927,19.245283018867923,22.333333333333332,2021
5,Karnal,27.676923076923078,16.427272727272726,27.0,19.565217391304348,21.333333333333332,21.785714285714285,27.925233644859812,2021
6,Panipat,26.0,19.043650793650794,80.0,20.0,12.0,24.0,25.0,2021
7,Sonepat,10.546875,15.854014598540147,0.0,28.0,2.8666666666666667,8.178571428571429,6.656410256410257,2021
8,Rohtak,32.5,26.94,0.0,22.30952380952381,18.166666666666668,51.4,32.0,2021
9,Jhajjar,26.076555023923444,12.39327296248383,300.0,18.317757009345794,11.71875,11.528571428571428,30.0,2021
10,Faridabad,26.92222222222222,26.80672268907563,65.0,20.875,29.867924528301888,27.61111111111111,28.18918918918919,2021
11,Mahendragarh,26.25,18.094594594594593,50.0,24.707142857142856,20.04,19.970588235294116,25.72222222222222,2021
12,Rewari,6.428571428571429,20.357142857142858,77.5,36.24812030075188,23.971698113207548,18.9,19.4,2021
13,Gurgaon,27.75,20.0,0.0,24.0,20.0,20.0,20.0,2021
14,Bhiwani,22.928125,13.02638036809816,70.14705882352942,19.271978021978022,9.666666666666666,11.4438202247191,15.177914110429448,2021
15,Hisar,25.0,10.0,0.0,24.389423076923077,17.82162162162162,6.904761904761905,14.422318125770653,2021
16,Fatehabad,27.256637168141594,21.528455284552845,0.0,9.818181818181818,17.00862068965517,19.64,11.968739607582307,2021
17,Sirsa,25.96537949400799,21.597701149425287,0.0,20.156756756756756,16.56198347107438,30.641304347826086,20.565055762081784,2021
18,Jind,30.359798994974874,30.75483870967742,379.2857142857143,12.419153365718252,18.488372093023255,29.902262443438914,35.19441340782123,2021
